,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
656,trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
657,trimipramine,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
658,trimipramine,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
659,trimipramine,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
660,trimipramine,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
661,trimipramine,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
662,trimipramine,CYP2C19,Indeterminate,CYP2D6,None,None
663,trimipramine,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
664,trimipramine,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
665,trimipramine,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
666,trimipramine,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
667,trimipramine,CYP2C19,None,CYP2D6,Indeterminate,None
668,trimipramine,CYP2C19,None,CYP2D6,None,None
669,tropisetron,CYP2D6,Ultrarapid Metabolizer,None,None,"Select alternative drug not predominantly metabolized by CYP2D6 (i.e., granisetron)."
670,tropisetron,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
671,tropisetron,CYP2D6,Intermediate Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
672,tropisetron,CYP2D6,Poor Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
673,tropisetron,CYP2D6,Indeterminate,None,None,None
674,tramadol,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid."
675,tramadol,CYP2D6,Normal Metabolizer,None,None,Use tramadol label recommended age- or weight-specific dosing.
676,tramadol,CYP2D6,Intermediate Metabolizer,None,None,"Use tramadol label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine opioid."
677,tramadol,CYP2D6,Poor Metabolizer,None,None,"Avoid tramadol use because of possibility of diminished analgesia. If opioid use is warranted, consider a non-codeine opioid."
678,tramadol,CYP2D6,Indeterminate,None,None,None
679,tamoxifen,CYP2D6,Ultrarapid Metabolizer,None,None,Avoid moderate and strong CYP2D6 inhibitors. Initiate therapy with recommended standard of care dosing (tamoxifen 20 mg/day).
680,tamoxifen,CYP2D6,Normal Metabolizer,None,None,Avoid moderate and strong CYP2D6 inhibitors. Initiate therapy with recommended standard of care dosing (tamoxifen 20 mg/day).
681,tamoxifen,CYP2D6,Intermediate Metabolizer,None,None,"Consider hormonal therapy such as an aromatase inhibitor for postmenopausal women or aromatase inhibitor along with ovarian function suppression in premenopausal women, given that these approaches are superior to tamoxifen regardless of CYP2D6 genotype (PMID 26211827). If aromatase inhibitor use is contraindicated, consideration should be given to use a higher but FDA approved tamoxifen dose (40 mg/day)(PMID 27226358). Avoid CYP2D6 strong to weak inhibitors."
682,tamoxifen,CYP2D6,Poor Metabolizer,None,None,"Recommend alternative hormonal therapy such as an aromatase inhibitor for postmenopausal women or aromatase inhibitor along with ovarian function suppression in premenopausal women given that these approaches are superior to tamoxifen regardless of CYP2D6 genotype (PMID 26211827) and based on knowledge that CYP2D6 poor metabolizers switched from tamoxifen to anastrozole do not have an increased risk of recurrence (PMID 23213055). Note, higher dose tamoxifen (40 mg/day) increases but does not normalize endoxifen concentrations and can be considered if there are contraindications to aromatase inhibitor therapy (PMID 27226358, 21768473)."
683,tamoxifen,CYP2D6,Indeterminate,None,None,None
684,paroxetine,CYP2D6,Ultrarapid Metabolizer,None,None,Select alternative drug not predominantly metabolized by CYP2D6
685,paroxetine,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose
686,paroxetine,CYP2D6,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose
687,paroxetine,CYP2D6,Poor Metabolizer,None,None,"Select alternative drug not predominantly metabolized by CYP2D6 or if paroxetine use warranted, consider a 50% reduction of recommended starting dose and titrate to response."
688,paroxetine,CYP2D6,Indeterminate,None,None,None
689,ondansetron,CYP2D6,Ultrarapid Metabolizer,None,None,"Select alternative drug not predominantly metabolized by CYP2D6 (i.e., granisetron)."
690,ondansetron,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
691,ondansetron,CYP2D6,Intermediate Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
692,ondansetron,CYP2D6,Poor Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
693,ondansetron,CYP2D6,Indeterminate,None,None,None
694,nortriptyline,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a tricyclic antidepressant is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
695,nortriptyline,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose
696,nortriptyline,CYP2D6,Intermediate Metabolizer,None,None,Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.
697,nortriptyline,CYP2D6,Poor Metabolizer,None,None,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a tricyclic antidepressant is warranted, consider a 50% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
698,nortriptyline,CYP2D6,Indeterminate,None,None,None
699,hydrocodone,CYP2D6,Ultrarapid Metabolizer,None,None,No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.
700,hydrocodone,CYP2D6,Normal Metabolizer,None,None,Use hydrocodone label recommended age- or weight-specific dosing.
701,hydrocodone,CYP2D6,Intermediate Metabolizer,None,None,"Use hydrocodone label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine or non-tramadol opioid."
702,hydrocodone,CYP2D6,Poor Metabolizer,None,None,"Use hydrocodone label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine and non-tramadol opioid."
703,hydrocodone,CYP2D6,Indeterminate,None,None,None
704,fluvoxamine,CYP2D6,Ultrarapid Metabolizer,None,None,None
705,fluvoxamine,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
706,fluvoxamine,CYP2D6,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
707,fluvoxamine,CYP2D6,Poor Metabolizer,None,None,Consider a 25-50% reduction of recommended starting dose and titrate to response or use an alternative drug not metabolized by CYP2D6.
708,fluvoxamine,CYP2D6,Indeterminate,None,None,None
709,desipramine,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
710,desipramine,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose
711,desipramine,CYP2D6,Intermediate Metabolizer,None,None,Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.
712,desipramine,CYP2D6,Poor Metabolizer,None,None,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
713,desipramine,CYP2D6,Indeterminate,None,None,None
714,codeine,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid."
715,codeine,CYP2D6,Normal Metabolizer,None,None,Use codeine label recommended age- or weight-specific dosing.
716,codeine,CYP2D6,Intermediate Metabolizer,None,None,"Use codeine label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider a non-tramadol opioid."
717,codeine,CYP2D6,Poor Metabolizer,None,None,"Avoid codeine use because of possibility of diminished analgesia. If opioid use is warranted, consider a non-tramadol opioid."
718,codeine,CYP2D6,Indeterminate,None,None,None
719,atomoxetine,CYP2D6,Ultrarapid Metabolizer,None,None,"Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations."
720,atomoxetine,CYP2D6,Normal Metabolizer,None,None,"Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations."
721,atomoxetine,CYP2D6,Intermediate Metabolizer,None,None,"Initiate with a dose of 40 mg/day and increase to 80 mg/day after 3 days. If no clinical response and in the absence of adverse events after 2 weeks, consider increasing dose to 100 mg/day. If no clinical response observed after 2 weeks, consider obtaining a peak plasma concentration (1 to 2 hours after dose administered). If <200 ng/mL, consider a proportional increase in dose to approach 400 ng/mL. Dosages greater than 100 mg/day may be needed to achieve target concentrations."
